Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
WalkerDelta_14,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:06:00,360,1,1
WalkerDelta_17,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:08:00,480,1,1
WalkerDelta_1,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:16:00,960,1,1
WalkerDelta_13,Ground station 1,1,2023-06-01 00:16:00,2023-06-01 00:34:00,1080,1,1
WalkerDelta_20,Ground station 1,1,2023-06-01 00:22:00,2023-06-01 00:36:00,840,1,1
WalkerDelta_4,Ground station 1,1,2023-06-01 00:27:00,2023-06-01 00:45:00,1080,1,1
WalkerDelta_16,Ground station 1,1,2023-06-01 00:44:00,2023-06-01 01:02:00,1080,1,1
WalkerDelta_19,Ground station 1,1,2023-06-01 00:51:00,2023-06-01 01:05:00,840,1,1
WalkerDelta_3,Ground station 1,1,2023-06-01 00:55:00,2023-06-01 01:13:00,1080,1,1
WalkerDelta_15,Ground station 1,1,2023-06-01 01:12:00,2023-06-01 01:30:00,1080,1,1
WalkerDelta_18,Ground station 1,1,2023-06-01 01:20:00,2023-06-01 01:34:00,840,1,1
WalkerDelta_2,Ground station 1,1,2023-06-01 01:23:00,2023-06-01 01:41:00,1080,1,1
WalkerDelta_14,Ground station 1,2,2023-06-01 01:40:00,2023-06-01 01:57:00,1020,1,2
WalkerDelta_17,Ground station 1,2,2023-06-01 01:49:00,2023-06-01 02:03:00,840,2,2
WalkerDelta_1,Ground station 1,2,2023-06-01 01:51:00,2023-06-01 02:09:00,1080,2,2
WalkerDelta_13,Ground station 1,2,2023-06-01 02:09:00,2023-06-01 02:24:00,900,2,2
WalkerDelta_20,Ground station 1,2,2023-06-01 02:17:00,2023-06-01 02:32:00,900,2,2
WalkerDelta_4,Ground station 1,2,2023-06-01 02:19:00,2023-06-01 02:37:00,1080,2,2
WalkerDelta_16,Ground station 1,2,2023-06-01 02:38:00,2023-06-01 02:51:00,780,2,2
WalkerDelta_19,Ground station 1,2,2023-06-01 02:45:00,2023-06-01 03:01:00,960,2,2
WalkerDelta_3,Ground station 1,2,2023-06-01 02:47:00,2023-06-01 03:05:00,1080,2,2
WalkerDelta_15,Ground station 1,2,2023-06-01 03:07:00,2023-06-01 03:17:00,600,2,2
WalkerDelta_18,Ground station 1,2,2023-06-01 03:13:00,2023-06-01 03:30:00,1020,2,2
WalkerDelta_2,Ground station 1,2,2023-06-01 03:16:00,2023-06-01 03:33:00,1020,2,2
WalkerDelta_5,Ground station 1,1,2023-06-01 03:34:00,2023-06-01 03:35:00,60,2,3
WalkerDelta_17,Ground station 1,3,2023-06-01 03:41:00,2023-06-01 03:59:00,1080,3,3
WalkerDelta_1,Ground station 1,3,2023-06-01 03:45:00,2023-06-01 04:01:00,960,3,3
WalkerDelta_8,Ground station 1,1,2023-06-01 03:57:00,2023-06-01 04:08:00,660,3,3
WalkerDelta_20,Ground station 1,3,2023-06-01 04:09:00,2023-06-01 04:28:00,1140,3,3
WalkerDelta_4,Ground station 1,3,2023-06-01 04:14:00,2023-06-01 04:29:00,900,3,3
WalkerDelta_7,Ground station 1,1,2023-06-01 04:23:00,2023-06-01 04:37:00,840,3,3
WalkerDelta_19,Ground station 1,3,2023-06-01 04:37:00,2023-06-01 04:56:00,1140,3,3
WalkerDelta_3,Ground station 1,3,2023-06-01 04:43:00,2023-06-01 04:58:00,900,3,3
WalkerDelta_6,Ground station 1,1,2023-06-01 04:50:00,2023-06-01 05:06:00,960,3,3
WalkerDelta_18,Ground station 1,3,2023-06-01 05:05:00,2023-06-01 05:24:00,1140,3,4
WalkerDelta_2,Ground station 1,3,2023-06-01 05:12:00,2023-06-01 05:26:00,840,3,4
WalkerDelta_5,Ground station 1,2,2023-06-01 05:17:00,2023-06-01 05:34:00,1020,3,4
WalkerDelta_17,Ground station 1,4,2023-06-01 05:34:00,2023-06-01 05:52:00,1080,4,4
WalkerDelta_1,Ground station 1,4,2023-06-01 05:41:00,2023-06-01 05:55:00,840,4,4
