Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
WalkerDelta_14,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:06:00,360,1,1
WalkerDelta_17,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:08:00,480,1,1
WalkerDelta_1,Ground station 1,1,2023-06-01 00:03:00,2023-06-01 00:11:00,480,1,1
WalkerDelta_13,Ground station 1,1,2023-06-01 00:16:00,2023-06-01 00:34:00,1080,1,1
WalkerDelta_20,Ground station 1,1,2023-06-01 00:22:00,2023-06-01 00:36:00,840,1,1
WalkerDelta_4,Ground station 1,1,2023-06-01 00:27:00,2023-06-01 00:37:00,600,1,1
WalkerDelta_16,Ground station 1,1,2023-06-01 00:44:00,2023-06-01 01:02:00,1080,1,1
WalkerDelta_3,Ground station 1,1,2023-06-01 00:51:00,2023-06-01 01:02:00,660,1,1
WalkerDelta_19,Ground station 1,1,2023-06-01 00:51:00,2023-06-01 01:05:00,840,1,1
WalkerDelta_2,Ground station 1,1,2023-06-01 01:16:00,2023-06-01 01:27:00,660,1,1
WalkerDelta_15,Ground station 1,1,2023-06-01 01:12:00,2023-06-01 01:30:00,1080,1,1
WalkerDelta_18,Ground station 1,1,2023-06-01 01:20:00,2023-06-01 01:34:00,840,1,1
WalkerDelta_1,Ground station 1,2,2023-06-01 01:40:00,2023-06-01 01:52:00,720,2,2
WalkerDelta_14,Ground station 1,2,2023-06-01 01:40:00,2023-06-01 01:57:00,1020,1,2
WalkerDelta_17,Ground station 1,2,2023-06-01 01:49:00,2023-06-01 02:03:00,840,2,2
WalkerDelta_4,Ground station 1,2,2023-06-01 02:05:00,2023-06-01 02:17:00,720,2,2
WalkerDelta_13,Ground station 1,2,2023-06-01 02:09:00,2023-06-01 02:24:00,900,2,2
WalkerDelta_20,Ground station 1,2,2023-06-01 02:17:00,2023-06-01 02:32:00,900,2,2
WalkerDelta_3,Ground station 1,2,2023-06-01 02:31:00,2023-06-01 02:42:00,660,2,2
WalkerDelta_16,Ground station 1,2,2023-06-01 02:38:00,2023-06-01 02:51:00,780,2,2
WalkerDelta_19,Ground station 1,2,2023-06-01 02:45:00,2023-06-01 03:01:00,960,2,2
WalkerDelta_2,Ground station 1,2,2023-06-01 02:56:00,2023-06-01 03:07:00,660,2,2
WalkerDelta_15,Ground station 1,2,2023-06-01 03:07:00,2023-06-01 03:17:00,600,2,2
WalkerDelta_18,Ground station 1,2,2023-06-01 03:13:00,2023-06-01 03:30:00,1020,2,2
WalkerDelta_1,Ground station 1,3,2023-06-01 03:22:00,2023-06-01 03:31:00,540,3,3
WalkerDelta_4,Ground station 1,3,2023-06-01 03:47:00,2023-06-01 03:56:00,540,3,3
WalkerDelta_17,Ground station 1,3,2023-06-01 03:41:00,2023-06-01 03:59:00,1080,3,3
WalkerDelta_3,Ground station 1,3,2023-06-01 04:13:00,2023-06-01 04:21:00,480,3,3
WalkerDelta_6,Ground station 1,1,2023-06-01 04:23:00,2023-06-01 04:26:00,180,3,3
WalkerDelta_20,Ground station 1,3,2023-06-01 04:09:00,2023-06-01 04:28:00,1140,3,3
WalkerDelta_2,Ground station 1,3,2023-06-01 04:39:00,2023-06-01 04:45:00,360,3,3
WalkerDelta_5,Ground station 1,1,2023-06-01 04:46:00,2023-06-01 04:53:00,420,3,4
WalkerDelta_19,Ground station 1,3,2023-06-01 04:37:00,2023-06-01 04:56:00,1140,3,3
WalkerDelta_1,Ground station 1,4,2023-06-01 05:05:00,2023-06-01 05:10:00,300,4,4
WalkerDelta_8,Ground station 1,1,2023-06-01 05:09:00,2023-06-01 05:19:00,600,4,4
WalkerDelta_18,Ground station 1,3,2023-06-01 05:05:00,2023-06-01 05:24:00,1140,3,4
WalkerDelta_4,Ground station 1,4,2023-06-01 05:31:00,2023-06-01 05:35:00,240,4,4
WalkerDelta_7,Ground station 1,1,2023-06-01 05:33:00,2023-06-01 05:44:00,660,4,4
WalkerDelta_17,Ground station 1,4,2023-06-01 05:34:00,2023-06-01 05:52:00,1080,4,4
