Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
WalkerDelta_1,Ground station 1,1,2023-06-01 00:03:00,2023-06-01 00:11:00,480,1,1
WalkerDelta_4,Ground station 1,1,2023-06-01 00:27:00,2023-06-01 00:37:00,600,1,1
WalkerDelta_3,Ground station 1,1,2023-06-01 00:51:00,2023-06-01 01:02:00,660,1,1
WalkerDelta_2,Ground station 1,1,2023-06-01 01:16:00,2023-06-01 01:27:00,660,1,1
WalkerDelta_1,Ground station 1,2,2023-06-01 01:40:00,2023-06-01 01:52:00,720,2,2
WalkerDelta_4,Ground station 1,2,2023-06-01 02:05:00,2023-06-01 02:17:00,720,2,2
WalkerDelta_3,Ground station 1,2,2023-06-01 02:31:00,2023-06-01 02:42:00,660,2,2
WalkerDelta_2,Ground station 1,2,2023-06-01 02:56:00,2023-06-01 03:07:00,660,2,2
WalkerDelta_1,Ground station 1,3,2023-06-01 03:22:00,2023-06-01 03:31:00,540,3,3
WalkerDelta_4,Ground station 1,3,2023-06-01 03:47:00,2023-06-01 03:56:00,540,3,3
WalkerDelta_3,Ground station 1,3,2023-06-01 04:13:00,2023-06-01 04:21:00,480,3,3
WalkerDelta_6,Ground station 1,1,2023-06-01 04:23:00,2023-06-01 04:26:00,180,3,3
WalkerDelta_2,Ground station 1,3,2023-06-01 04:39:00,2023-06-01 04:45:00,360,3,3
WalkerDelta_5,Ground station 1,1,2023-06-01 04:46:00,2023-06-01 04:53:00,420,3,4
WalkerDelta_1,Ground station 1,4,2023-06-01 05:05:00,2023-06-01 05:10:00,300,4,4
WalkerDelta_8,Ground station 1,1,2023-06-01 05:09:00,2023-06-01 05:19:00,600,4,4
WalkerDelta_4,Ground station 1,4,2023-06-01 05:31:00,2023-06-01 05:35:00,240,4,4
WalkerDelta_7,Ground station 1,1,2023-06-01 05:33:00,2023-06-01 05:44:00,660,4,4
WalkerDelta_3,Ground station 1,4,2023-06-01 05:57:00,2023-06-01 06:01:00,240,4,4
WalkerDelta_6,Ground station 1,2,2023-06-01 05:58:00,2023-06-01 06:09:00,660,4,4
WalkerDelta_2,Ground station 1,4,2023-06-01 06:22:00,2023-06-01 06:26:00,240,4,5
WalkerDelta_5,Ground station 1,2,2023-06-01 06:22:00,2023-06-01 06:34:00,720,4,5
WalkerDelta_1,Ground station 1,5,2023-06-01 06:47:00,2023-06-01 06:52:00,300,5,5
WalkerDelta_8,Ground station 1,2,2023-06-01 06:47:00,2023-06-01 06:59:00,720,5,5
WalkerDelta_4,Ground station 1,5,2023-06-01 07:12:00,2023-06-01 07:18:00,360,5,5
WalkerDelta_7,Ground station 1,2,2023-06-01 07:13:00,2023-06-01 07:24:00,660,5,5
WalkerDelta_3,Ground station 1,5,2023-06-01 07:37:00,2023-06-01 07:44:00,420,5,5
WalkerDelta_6,Ground station 1,3,2023-06-01 07:38:00,2023-06-01 07:49:00,660,5,5
WalkerDelta_2,Ground station 1,5,2023-06-01 08:01:00,2023-06-01 08:10:00,540,6,6
WalkerDelta_5,Ground station 1,3,2023-06-01 08:03:00,2023-06-01 08:13:00,600,6,6
WalkerDelta_1,Ground station 1,6,2023-06-01 08:26:00,2023-06-01 08:36:00,600,6,6
WalkerDelta_8,Ground station 1,3,2023-06-01 08:29:00,2023-06-01 08:38:00,540,6,6
WalkerDelta_4,Ground station 1,6,2023-06-01 08:51:00,2023-06-01 09:02:00,660,6,6
WalkerDelta_7,Ground station 1,3,2023-06-01 08:55:00,2023-06-01 09:03:00,480,6,6
WalkerDelta_3,Ground station 1,6,2023-06-01 09:16:00,2023-06-01 09:27:00,660,6,6
WalkerDelta_6,Ground station 1,4,2023-06-01 09:21:00,2023-06-01 09:27:00,360,6,6
WalkerDelta_9,Ground station 1,1,2023-06-01 09:28:00,2023-06-01 09:35:00,420,6,7
WalkerDelta_2,Ground station 1,6,2023-06-01 09:40:00,2023-06-01 09:52:00,720,7,7
WalkerDelta_5,Ground station 1,4,2023-06-01 09:47:00,2023-06-01 09:52:00,300,7,7
WalkerDelta_1,Ground station 1,7,2023-06-01 10:05:00,2023-06-01 10:17:00,720,7,7
WalkerDelta_8,Ground station 1,4,2023-06-01 10:13:00,2023-06-01 10:17:00,240,7,7
WalkerDelta_4,Ground station 1,7,2023-06-01 10:30:00,2023-06-01 10:42:00,720,7,7
WalkerDelta_7,Ground station 1,4,2023-06-01 10:39:00,2023-06-01 10:42:00,180,7,7
WalkerDelta_10,Ground station 1,1,2023-06-01 10:40:00,2023-06-01 10:51:00,660,7,7
WalkerDelta_3,Ground station 1,7,2023-06-01 10:55:00,2023-06-01 11:06:00,660,7,7
WalkerDelta_6,Ground station 1,5,2023-06-01 11:04:00,2023-06-01 11:08:00,240,7,7
WalkerDelta_9,Ground station 1,2,2023-06-01 11:04:00,2023-06-01 11:16:00,720,7,8
WalkerDelta_2,Ground station 1,7,2023-06-01 11:21:00,2023-06-01 11:30:00,540,8,8
WalkerDelta_5,Ground station 1,5,2023-06-01 11:29:00,2023-06-01 11:34:00,300,8,8
WalkerDelta_1,Ground station 1,8,2023-06-01 11:46:00,2023-06-01 11:54:00,480,8,8
WalkerDelta_8,Ground station 1,5,2023-06-01 11:54:00,2023-06-01 12:00:00,360,8,8
WalkerDelta_4,Ground station 1,8,2023-06-01 12:13:00,2023-06-01 12:16:00,180,8,8
WalkerDelta_7,Ground station 1,5,2023-06-01 12:19:00,2023-06-01 12:26:00,420,8,8
WalkerDelta_10,Ground station 1,2,2023-06-01 12:20:00,2023-06-01 12:31:00,660,8,8
WalkerDelta_6,Ground station 1,6,2023-06-01 12:43:00,2023-06-01 12:52:00,540,8,9
WalkerDelta_9,Ground station 1,3,2023-06-01 12:45:00,2023-06-01 12:55:00,600,8,9
WalkerDelta_5,Ground station 1,6,2023-06-01 13:08:00,2023-06-01 13:18:00,600,9,9
WalkerDelta_8,Ground station 1,6,2023-06-01 13:33:00,2023-06-01 13:43:00,600,9,9
WalkerDelta_7,Ground station 1,6,2023-06-01 13:58:00,2023-06-01 14:09:00,660,9,9
WalkerDelta_10,Ground station 1,3,2023-06-01 14:03:00,2023-06-01 14:09:00,360,9,9
WalkerDelta_6,Ground station 1,7,2023-06-01 14:22:00,2023-06-01 14:34:00,720,10,10
WalkerDelta_9,Ground station 1,4,2023-06-01 14:29:00,2023-06-01 14:34:00,300,10,10
WalkerDelta_5,Ground station 1,7,2023-06-01 14:47:00,2023-06-01 14:59:00,720,10,10
WalkerDelta_8,Ground station 1,7,2023-06-01 15:12:00,2023-06-01 15:24:00,720,10,10
WalkerDelta_7,Ground station 1,7,2023-06-01 15:37:00,2023-06-01 15:48:00,660,10,10
WalkerDelta_10,Ground station 1,4,2023-06-01 15:46:00,2023-06-01 15:50:00,240,10,10
WalkerDelta_6,Ground station 1,8,2023-06-01 16:02:00,2023-06-01 16:12:00,600,11,11
WalkerDelta_9,Ground station 1,5,2023-06-01 16:11:00,2023-06-01 16:16:00,300,11,11
WalkerDelta_5,Ground station 1,8,2023-06-01 16:28:00,2023-06-01 16:36:00,480,11,11
WalkerDelta_8,Ground station 1,8,2023-06-01 16:54:00,2023-06-01 16:59:00,300,11,11
WalkerDelta_10,Ground station 1,5,2023-06-01 17:25:00,2023-06-01 17:34:00,540,11,12
WalkerDelta_9,Ground station 1,6,2023-06-01 17:50:00,2023-06-01 18:00:00,600,12,12
WalkerDelta_10,Ground station 1,6,2023-06-01 19:04:00,2023-06-01 19:16:00,720,12,13
WalkerDelta_9,Ground station 1,7,2023-06-01 19:29:00,2023-06-01 19:41:00,720,13,13
WalkerDelta_10,Ground station 1,7,2023-06-01 20:44:00,2023-06-01 20:55:00,660,14,14
WalkerDelta_9,Ground station 1,8,2023-06-01 21:10:00,2023-06-01 21:18:00,480,14,14
WalkerDelta_2,Ground station 1,8,2023-06-01 23:35:00,2023-06-01 23:39:00,240,15,15
WalkerDelta_1,Ground station 1,9,2023-06-01 23:58:00,2023-06-02 00:06:00,480,16,16
WalkerDelta_4,Ground station 1,9,2023-06-02 00:22:00,2023-06-02 00:32:00,600,16,16
WalkerDelta_3,Ground station 1,8,2023-06-02 00:46:00,2023-06-02 00:57:00,660,16,16
WalkerDelta_2,Ground station 1,9,2023-06-02 01:10:00,2023-06-02 01:22:00,720,16,16
WalkerDelta_1,Ground station 1,10,2023-06-02 01:35:00,2023-06-02 01:47:00,720,17,17
WalkerDelta_4,Ground station 1,10,2023-06-02 02:00:00,2023-06-02 02:12:00,720,17,17
WalkerDelta_3,Ground station 1,9,2023-06-02 02:25:00,2023-06-02 02:37:00,720,17,17
WalkerDelta_2,Ground station 1,10,2023-06-02 02:51:00,2023-06-02 03:01:00,600,17,17
WalkerDelta_1,Ground station 1,11,2023-06-02 03:16:00,2023-06-02 03:26:00,600,18,18
WalkerDelta_4,Ground station 1,11,2023-06-02 03:42:00,2023-06-02 03:51:00,540,18,18
WalkerDelta_3,Ground station 1,10,2023-06-02 04:08:00,2023-06-02 04:15:00,420,18,18
WalkerDelta_6,Ground station 1,9,2023-06-02 04:18:00,2023-06-02 04:21:00,180,18,18
WalkerDelta_2,Ground station 1,11,2023-06-02 04:34:00,2023-06-02 04:40:00,360,18,18
WalkerDelta_5,Ground station 1,9,2023-06-02 04:40:00,2023-06-02 04:48:00,480,18,19
WalkerDelta_1,Ground station 1,12,2023-06-02 05:00:00,2023-06-02 05:05:00,300,19,19
WalkerDelta_8,Ground station 1,9,2023-06-02 05:04:00,2023-06-02 05:13:00,540,19,19
WalkerDelta_4,Ground station 1,12,2023-06-02 05:26:00,2023-06-02 05:30:00,240,19,19
WalkerDelta_7,Ground station 1,8,2023-06-02 05:28:00,2023-06-02 05:39:00,660,19,19
WalkerDelta_3,Ground station 1,11,2023-06-02 05:52:00,2023-06-02 05:55:00,180,19,19
WalkerDelta_6,Ground station 1,10,2023-06-02 05:53:00,2023-06-02 06:04:00,660,19,19
WalkerDelta_2,Ground station 1,12,2023-06-02 06:17:00,2023-06-02 06:21:00,240,19,20
WalkerDelta_5,Ground station 1,10,2023-06-02 06:17:00,2023-06-02 06:29:00,720,19,20
WalkerDelta_1,Ground station 1,13,2023-06-02 06:42:00,2023-06-02 06:47:00,300,20,20
WalkerDelta_8,Ground station 1,10,2023-06-02 06:42:00,2023-06-02 06:54:00,720,20,20
WalkerDelta_4,Ground station 1,13,2023-06-02 07:07:00,2023-06-02 07:13:00,360,20,20
WalkerDelta_7,Ground station 1,9,2023-06-02 07:07:00,2023-06-02 07:19:00,720,20,20
WalkerDelta_3,Ground station 1,12,2023-06-02 07:31:00,2023-06-02 07:39:00,480,20,20
WalkerDelta_6,Ground station 1,11,2023-06-02 07:33:00,2023-06-02 07:43:00,600,20,20
WalkerDelta_2,Ground station 1,13,2023-06-02 07:56:00,2023-06-02 08:05:00,540,21,21
WalkerDelta_5,Ground station 1,11,2023-06-02 07:58:00,2023-06-02 08:08:00,600,21,21
WalkerDelta_1,Ground station 1,14,2023-06-02 08:21:00,2023-06-02 08:31:00,600,21,21
WalkerDelta_8,Ground station 1,11,2023-06-02 08:24:00,2023-06-02 08:33:00,540,21,21
WalkerDelta_4,Ground station 1,14,2023-06-02 08:46:00,2023-06-02 08:56:00,600,21,21
WalkerDelta_7,Ground station 1,10,2023-06-02 08:50:00,2023-06-02 08:57:00,420,21,21
WalkerDelta_3,Ground station 1,13,2023-06-02 09:10:00,2023-06-02 09:22:00,720,21,21
WalkerDelta_6,Ground station 1,12,2023-06-02 09:16:00,2023-06-02 09:22:00,360,21,21
WalkerDelta_9,Ground station 1,9,2023-06-02 09:23:00,2023-06-02 09:29:00,360,21,22
WalkerDelta_2,Ground station 1,14,2023-06-02 09:35:00,2023-06-02 09:47:00,720,22,22
WalkerDelta_5,Ground station 1,12,2023-06-02 09:42:00,2023-06-02 09:47:00,300,22,22
WalkerDelta_1,Ground station 1,15,2023-06-02 10:00:00,2023-06-02 10:12:00,720,22,22
WalkerDelta_8,Ground station 1,12,2023-06-02 10:08:00,2023-06-02 10:12:00,240,22,22
WalkerDelta_4,Ground station 1,15,2023-06-02 10:25:00,2023-06-02 10:36:00,660,22,22
WalkerDelta_7,Ground station 1,11,2023-06-02 10:33:00,2023-06-02 10:37:00,240,22,22
WalkerDelta_10,Ground station 1,8,2023-06-02 10:35:00,2023-06-02 10:46:00,660,22,22
WalkerDelta_3,Ground station 1,14,2023-06-02 10:50:00,2023-06-02 11:01:00,660,22,22
WalkerDelta_6,Ground station 1,13,2023-06-02 10:59:00,2023-06-02 11:03:00,240,22,22
WalkerDelta_9,Ground station 1,10,2023-06-02 10:59:00,2023-06-02 11:11:00,720,22,23
WalkerDelta_2,Ground station 1,15,2023-06-02 11:15:00,2023-06-02 11:25:00,600,23,23
WalkerDelta_5,Ground station 1,13,2023-06-02 11:24:00,2023-06-02 11:29:00,300,23,23
WalkerDelta_1,Ground station 1,16,2023-06-02 11:41:00,2023-06-02 11:49:00,480,23,23
WalkerDelta_8,Ground station 1,13,2023-06-02 11:49:00,2023-06-02 11:55:00,360,23,23
WalkerDelta_4,Ground station 1,16,2023-06-02 12:07:00,2023-06-02 12:11:00,240,23,23
WalkerDelta_7,Ground station 1,12,2023-06-02 12:13:00,2023-06-02 12:21:00,480,23,23
WalkerDelta_10,Ground station 1,9,2023-06-02 12:14:00,2023-06-02 12:25:00,660,23,23
WalkerDelta_6,Ground station 1,14,2023-06-02 12:38:00,2023-06-02 12:47:00,540,23,24
WalkerDelta_9,Ground station 1,11,2023-06-02 12:40:00,2023-06-02 12:50:00,600,24,24
WalkerDelta_5,Ground station 1,14,2023-06-02 13:03:00,2023-06-02 13:12:00,540,24,24
WalkerDelta_8,Ground station 1,14,2023-06-02 13:28:00,2023-06-02 13:38:00,600,24,24
WalkerDelta_7,Ground station 1,13,2023-06-02 13:52:00,2023-06-02 14:03:00,660,24,24
WalkerDelta_10,Ground station 1,10,2023-06-02 13:57:00,2023-06-02 14:04:00,420,24,24
WalkerDelta_6,Ground station 1,15,2023-06-02 14:17:00,2023-06-02 14:29:00,720,25,25
WalkerDelta_9,Ground station 1,12,2023-06-02 14:23:00,2023-06-02 14:29:00,360,25,25
WalkerDelta_5,Ground station 1,15,2023-06-02 14:42:00,2023-06-02 14:54:00,720,25,25
WalkerDelta_8,Ground station 1,15,2023-06-02 15:07:00,2023-06-02 15:18:00,660,25,25
WalkerDelta_7,Ground station 1,14,2023-06-02 15:32:00,2023-06-02 15:43:00,660,25,25
WalkerDelta_10,Ground station 1,11,2023-06-02 15:41:00,2023-06-02 15:44:00,180,25,25
WalkerDelta_6,Ground station 1,16,2023-06-02 15:57:00,2023-06-02 16:07:00,600,26,26
WalkerDelta_9,Ground station 1,13,2023-06-02 16:06:00,2023-06-02 16:10:00,240,26,26
WalkerDelta_5,Ground station 1,16,2023-06-02 16:23:00,2023-06-02 16:31:00,480,26,26
WalkerDelta_8,Ground station 1,16,2023-06-02 16:49:00,2023-06-02 16:54:00,300,26,26
WalkerDelta_10,Ground station 1,12,2023-06-02 17:20:00,2023-06-02 17:28:00,480,26,27
WalkerDelta_9,Ground station 1,14,2023-06-02 17:45:00,2023-06-02 17:54:00,540,27,27
WalkerDelta_10,Ground station 1,13,2023-06-02 18:59:00,2023-06-02 19:11:00,720,27,28
WalkerDelta_9,Ground station 1,15,2023-06-02 19:24:00,2023-06-02 19:36:00,720,28,28
WalkerDelta_10,Ground station 1,14,2023-06-02 20:39:00,2023-06-02 20:49:00,600,29,29
WalkerDelta_9,Ground station 1,16,2023-06-02 21:04:00,2023-06-02 21:13:00,540,29,29
WalkerDelta_2,Ground station 1,16,2023-06-02 23:30:00,2023-06-02 23:34:00,240,30,30
WalkerDelta_1,Ground station 1,17,2023-06-02 23:53:00,2023-06-03 00:01:00,480,31,31
WalkerDelta_4,Ground station 1,17,2023-06-03 00:17:00,2023-06-03 00:26:00,540,31,31
WalkerDelta_3,Ground station 1,15,2023-06-03 00:41:00,2023-06-03 00:52:00,660,31,31
WalkerDelta_2,Ground station 1,17,2023-06-03 01:05:00,2023-06-03 01:17:00,720,31,31
WalkerDelta_1,Ground station 1,18,2023-06-03 01:30:00,2023-06-03 01:42:00,720,32,32
WalkerDelta_4,Ground station 1,18,2023-06-03 01:55:00,2023-06-03 02:06:00,660,32,32
WalkerDelta_3,Ground station 1,16,2023-06-03 02:20:00,2023-06-03 02:31:00,660,32,32
WalkerDelta_2,Ground station 1,18,2023-06-03 02:45:00,2023-06-03 02:56:00,660,32,32
WalkerDelta_1,Ground station 1,19,2023-06-03 03:11:00,2023-06-03 03:21:00,600,33,33
WalkerDelta_4,Ground station 1,19,2023-06-03 03:37:00,2023-06-03 03:45:00,480,33,33
WalkerDelta_3,Ground station 1,17,2023-06-03 04:03:00,2023-06-03 04:10:00,420,33,33
WalkerDelta_6,Ground station 1,17,2023-06-03 04:13:00,2023-06-03 04:15:00,120,33,33
WalkerDelta_2,Ground station 1,19,2023-06-03 04:29:00,2023-06-03 04:35:00,360,33,33
WalkerDelta_5,Ground station 1,17,2023-06-03 04:35:00,2023-06-03 04:42:00,420,33,34
WalkerDelta_1,Ground station 1,20,2023-06-03 04:55:00,2023-06-03 05:00:00,300,34,34
WalkerDelta_8,Ground station 1,17,2023-06-03 04:59:00,2023-06-03 05:08:00,540,34,34
WalkerDelta_4,Ground station 1,20,2023-06-03 05:21:00,2023-06-03 05:25:00,240,34,34
WalkerDelta_7,Ground station 1,15,2023-06-03 05:23:00,2023-06-03 05:33:00,600,34,34
WalkerDelta_3,Ground station 1,18,2023-06-03 05:46:00,2023-06-03 05:50:00,240,34,34
WalkerDelta_6,Ground station 1,18,2023-06-03 05:47:00,2023-06-03 05:59:00,720,34,34
WalkerDelta_2,Ground station 1,20,2023-06-03 06:12:00,2023-06-03 06:16:00,240,34,35
WalkerDelta_5,Ground station 1,18,2023-06-03 06:12:00,2023-06-03 06:24:00,720,34,35
WalkerDelta_1,Ground station 1,21,2023-06-03 06:37:00,2023-06-03 06:42:00,300,35,35
WalkerDelta_8,Ground station 1,18,2023-06-03 06:37:00,2023-06-03 06:48:00,660,35,35
WalkerDelta_4,Ground station 1,21,2023-06-03 07:01:00,2023-06-03 07:08:00,420,35,35
WalkerDelta_7,Ground station 1,16,2023-06-03 07:02:00,2023-06-03 07:13:00,660,35,35
WalkerDelta_3,Ground station 1,19,2023-06-03 07:26:00,2023-06-03 07:34:00,480,35,35
WalkerDelta_6,Ground station 1,19,2023-06-03 07:27:00,2023-06-03 07:38:00,660,35,35
WalkerDelta_2,Ground station 1,21,2023-06-03 07:51:00,2023-06-03 08:00:00,540,36,36
WalkerDelta_5,Ground station 1,19,2023-06-03 07:53:00,2023-06-03 08:03:00,600,36,36
WalkerDelta_1,Ground station 1,22,2023-06-03 08:16:00,2023-06-03 08:25:00,540,36,36
WalkerDelta_8,Ground station 1,19,2023-06-03 08:18:00,2023-06-03 08:27:00,540,36,36
WalkerDelta_4,Ground station 1,22,2023-06-03 08:40:00,2023-06-03 08:51:00,660,36,36
WalkerDelta_7,Ground station 1,17,2023-06-03 08:44:00,2023-06-03 08:52:00,480,36,36
WalkerDelta_3,Ground station 1,20,2023-06-03 09:05:00,2023-06-03 09:16:00,660,36,36
WalkerDelta_6,Ground station 1,20,2023-06-03 09:10:00,2023-06-03 09:17:00,420,36,36
WalkerDelta_9,Ground station 1,17,2023-06-03 09:18:00,2023-06-03 09:24:00,360,36,37
WalkerDelta_2,Ground station 1,22,2023-06-03 09:30:00,2023-06-03 09:41:00,660,37,37
WalkerDelta_5,Ground station 1,20,2023-06-03 09:36:00,2023-06-03 09:42:00,360,37,37
WalkerDelta_1,Ground station 1,23,2023-06-03 09:55:00,2023-06-03 10:06:00,660,37,37
WalkerDelta_8,Ground station 1,20,2023-06-03 10:02:00,2023-06-03 10:07:00,300,37,37
WalkerDelta_4,Ground station 1,23,2023-06-03 10:20:00,2023-06-03 10:31:00,660,37,37
WalkerDelta_7,Ground station 1,18,2023-06-03 10:28:00,2023-06-03 10:32:00,240,37,37
