Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
WDLeo_14,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:05:00,300,1,1
WDLeo_17,Ground station 1,1,2023-06-01 00:01:00,2023-06-01 00:05:00,240,1,1
WDLeo_1,Ground station 1,1,2023-06-01 00:03:00,2023-06-01 00:14:00,660,1,1
WDLeo_13,Ground station 1,1,2023-06-01 00:18:00,2023-06-01 00:30:00,720,1,1
WDLeo_20,Ground station 1,1,2023-06-01 00:27:00,2023-06-01 00:30:00,180,1,1
WDLeo_4,Ground station 1,1,2023-06-01 00:28:00,2023-06-01 00:39:00,660,1,1
WDLeo_16,Ground station 1,1,2023-06-01 00:43:00,2023-06-01 00:54:00,660,1,1
WDLeo_19,Ground station 1,1,2023-06-01 00:52:00,2023-06-01 00:56:00,240,1,1
WDLeo_3,Ground station 1,1,2023-06-01 00:52:00,2023-06-01 01:04:00,720,1,1
WDLeo_15,Ground station 1,1,2023-06-01 01:09:00,2023-06-01 01:18:00,540,1,1
WDLeo_18,Ground station 1,1,2023-06-01 01:17:00,2023-06-01 01:22:00,300,1,1
WDLeo_2,Ground station 1,1,2023-06-01 01:17:00,2023-06-01 01:29:00,720,1,1
WDLeo_14,Ground station 1,2,2023-06-01 01:34:00,2023-06-01 01:42:00,480,1,2
WDLeo_17,Ground station 1,2,2023-06-01 01:42:00,2023-06-01 01:48:00,360,2,2
WDLeo_1,Ground station 1,2,2023-06-01 01:42:00,2023-06-01 01:54:00,720,2,2
WDLeo_13,Ground station 1,2,2023-06-01 02:01:00,2023-06-01 02:04:00,180,2,2
WDLeo_20,Ground station 1,2,2023-06-01 02:07:00,2023-06-01 02:14:00,420,2,2
WDLeo_4,Ground station 1,2,2023-06-01 02:08:00,2023-06-01 02:19:00,660,2,2
WDLeo_19,Ground station 1,2,2023-06-01 02:31:00,2023-06-01 02:40:00,540,2,2
WDLeo_3,Ground station 1,2,2023-06-01 02:33:00,2023-06-01 02:43:00,600,2,2
WDLeo_18,Ground station 1,2,2023-06-01 02:56:00,2023-06-01 03:06:00,600,2,2
WDLeo_2,Ground station 1,2,2023-06-01 02:59:00,2023-06-01 03:08:00,540,2,2
WDLeo_17,Ground station 1,3,2023-06-01 03:21:00,2023-06-01 03:31:00,600,3,3
WDLeo_1,Ground station 1,3,2023-06-01 03:25:00,2023-06-01 03:33:00,480,3,3
WDLeo_4,Ground station 1,3,2023-06-01 03:51:00,2023-06-01 03:57:00,360,3,3
WDLeo_20,Ground station 1,3,2023-06-01 03:45:00,2023-06-01 03:57:00,720,3,3
WDLeo_7,Ground station 1,1,2023-06-01 03:58:00,2023-06-01 04:04:00,360,3,3
WDLeo_3,Ground station 1,3,2023-06-01 04:17:00,2023-06-01 04:22:00,300,3,3
WDLeo_19,Ground station 1,3,2023-06-01 04:10:00,2023-06-01 04:22:00,720,3,3
WDLeo_6,Ground station 1,1,2023-06-01 04:21:00,2023-06-01 04:30:00,540,3,3
WDLeo_2,Ground station 1,3,2023-06-01 04:43:00,2023-06-01 04:47:00,240,3,4
WDLeo_18,Ground station 1,3,2023-06-01 04:35:00,2023-06-01 04:47:00,720,3,4
WDLeo_5,Ground station 1,1,2023-06-01 04:45:00,2023-06-01 04:56:00,660,3,4
WDLeo_1,Ground station 1,4,2023-06-01 05:09:00,2023-06-01 05:12:00,180,4,4
WDLeo_17,Ground station 1,4,2023-06-01 05:00:00,2023-06-01 05:12:00,720,4,4
WDLeo_8,Ground station 1,1,2023-06-01 05:10:00,2023-06-01 05:21:00,660,4,4
WDLeo_20,Ground station 1,4,2023-06-01 05:25:00,2023-06-01 05:36:00,660,4,4
WDLeo_4,Ground station 1,4,2023-06-01 05:34:00,2023-06-01 05:38:00,240,4,4
WDLeo_7,Ground station 1,2,2023-06-01 05:34:00,2023-06-01 05:46:00,720,4,4
WDLeo_19,Ground station 1,4,2023-06-01 05:50:00,2023-06-01 06:00:00,600,4,4
WDLeo_3,Ground station 1,4,2023-06-01 05:59:00,2023-06-01 06:04:00,300,4,4
WDLeo_6,Ground station 1,2,2023-06-01 05:59:00,2023-06-01 06:11:00,720,4,4
WDLeo_18,Ground station 1,4,2023-06-01 06:16:00,2023-06-01 06:24:00,480,4,5
WDLeo_2,Ground station 1,4,2023-06-01 06:24:00,2023-06-01 06:30:00,360,5,5
WDLeo_5,Ground station 1,2,2023-06-01 06:24:00,2023-06-01 06:36:00,720,5,5
WDLeo_17,Ground station 1,5,2023-06-01 06:42:00,2023-06-01 06:47:00,300,5,5
WDLeo_1,Ground station 1,5,2023-06-01 06:49:00,2023-06-01 06:56:00,420,5,5
WDLeo_8,Ground station 1,2,2023-06-01 06:50:00,2023-06-01 07:01:00,660,5,5
WDLeo_4,Ground station 1,5,2023-06-01 07:13:00,2023-06-01 07:22:00,540,5,5
WDLeo_7,Ground station 1,3,2023-06-01 07:15:00,2023-06-01 07:25:00,600,5,5
WDLeo_3,Ground station 1,5,2023-06-01 07:38:00,2023-06-01 07:48:00,600,5,5
WDLeo_6,Ground station 1,3,2023-06-01 07:41:00,2023-06-01 07:50:00,540,5,5
WDLeo_2,Ground station 1,5,2023-06-01 08:03:00,2023-06-01 08:13:00,600,6,6
WDLeo_5,Ground station 1,3,2023-06-01 08:06:00,2023-06-01 08:15:00,540,6,6
WDLeo_1,Ground station 1,6,2023-06-01 08:27:00,2023-06-01 08:39:00,720,6,6
WDLeo_8,Ground station 1,3,2023-06-01 08:32:00,2023-06-01 08:39:00,420,6,6
WDLeo_11,Ground station 1,1,2023-06-01 08:41:00,2023-06-01 08:46:00,300,6,6
WDLeo_4,Ground station 1,6,2023-06-01 08:52:00,2023-06-01 09:04:00,720,6,6
WDLeo_7,Ground station 1,4,2023-06-01 08:58:00,2023-06-01 09:04:00,360,6,6
WDLeo_10,Ground station 1,1,2023-06-01 09:04:00,2023-06-01 09:12:00,480,6,6
WDLeo_3,Ground station 1,6,2023-06-01 09:17:00,2023-06-01 09:29:00,720,6,6
WDLeo_6,Ground station 1,4,2023-06-01 09:24:00,2023-06-01 09:29:00,300,6,6
WDLeo_9,Ground station 1,1,2023-06-01 09:28:00,2023-06-01 09:38:00,600,6,7
WDLeo_2,Ground station 1,6,2023-06-01 09:42:00,2023-06-01 09:54:00,720,7,7
WDLeo_5,Ground station 1,4,2023-06-01 09:50:00,2023-06-01 09:54:00,240,7,7
WDLeo_12,Ground station 1,1,2023-06-01 09:52:00,2023-06-01 10:03:00,660,7,7
WDLeo_1,Ground station 1,7,2023-06-01 10:07:00,2023-06-01 10:18:00,660,7,7
WDLeo_8,Ground station 1,4,2023-06-01 10:16:00,2023-06-01 10:20:00,240,7,7
WDLeo_11,Ground station 1,2,2023-06-01 10:16:00,2023-06-01 10:28:00,720,7,7
WDLeo_4,Ground station 1,7,2023-06-01 10:32:00,2023-06-01 10:42:00,600,7,7
WDLeo_7,Ground station 1,5,2023-06-01 10:41:00,2023-06-01 10:46:00,300,7,7
WDLeo_10,Ground station 1,2,2023-06-01 10:41:00,2023-06-01 10:53:00,720,7,7
WDLeo_3,Ground station 1,7,2023-06-01 10:58:00,2023-06-01 11:06:00,480,7,7
WDLeo_6,Ground station 1,5,2023-06-01 11:06:00,2023-06-01 11:12:00,360,7,8
WDLeo_9,Ground station 1,2,2023-06-01 11:06:00,2023-06-01 11:18:00,720,7,8
WDLeo_2,Ground station 1,7,2023-06-01 11:24:00,2023-06-01 11:29:00,300,8,8
WDLeo_5,Ground station 1,5,2023-06-01 11:31:00,2023-06-01 11:38:00,420,8,8
WDLeo_12,Ground station 1,2,2023-06-01 11:31:00,2023-06-01 11:43:00,720,8,8
WDLeo_8,Ground station 1,5,2023-06-01 11:55:00,2023-06-01 12:04:00,540,8,8
WDLeo_11,Ground station 1,3,2023-06-01 11:57:00,2023-06-01 12:07:00,600,8,8
WDLeo_7,Ground station 1,6,2023-06-01 12:20:00,2023-06-01 12:29:00,540,8,8
WDLeo_10,Ground station 1,3,2023-06-01 12:22:00,2023-06-01 12:32:00,600,8,8
WDLeo_6,Ground station 1,6,2023-06-01 12:45:00,2023-06-01 12:55:00,600,8,9
WDLeo_9,Ground station 1,3,2023-06-01 12:48:00,2023-06-01 12:57:00,540,9,9
WDLeo_5,Ground station 1,6,2023-06-01 13:09:00,2023-06-01 13:20:00,660,9,9
WDLeo_12,Ground station 1,3,2023-06-01 13:14:00,2023-06-01 13:21:00,420,9,9
WDLeo_15,Ground station 1,2,2023-06-01 13:23:00,2023-06-01 13:28:00,300,9,9
