Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
WalkerDelta_14,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:03:00,180,1,1
WalkerDelta_17,Ground station 1,1,2023-06-01 00:00:00,2023-06-01 00:03:00,180,1,1
WalkerDelta_1,Ground station 1,1,2023-06-01 00:03:00,2023-06-01 00:11:00,480,1,1
WalkerDelta_13,Ground station 1,1,2023-06-01 00:16:00,2023-06-01 00:28:00,720,1,1
WalkerDelta_20,Ground station 1,1,2023-06-01 00:24:00,2023-06-01 00:28:00,240,1,1
WalkerDelta_4,Ground station 1,1,2023-06-01 00:27:00,2023-06-01 00:37:00,600,1,1
WalkerDelta_16,Ground station 1,1,2023-06-01 00:41:00,2023-06-01 00:53:00,720,1,1
WalkerDelta_19,Ground station 1,1,2023-06-01 00:50:00,2023-06-01 00:53:00,180,1,1
WalkerDelta_3,Ground station 1,1,2023-06-01 00:51:00,2023-06-01 01:02:00,660,1,1
WalkerDelta_15,Ground station 1,1,2023-06-01 01:06:00,2023-06-01 01:18:00,720,1,1
WalkerDelta_18,Ground station 1,1,2023-06-01 01:15:00,2023-06-01 01:19:00,240,1,1
WalkerDelta_2,Ground station 1,1,2023-06-01 01:16:00,2023-06-01 01:27:00,660,1,1
WalkerDelta_14,Ground station 1,2,2023-06-01 01:31:00,2023-06-01 01:42:00,660,1,2
WalkerDelta_17,Ground station 1,2,2023-06-01 01:40:00,2023-06-01 01:44:00,240,2,2
WalkerDelta_1,Ground station 1,2,2023-06-01 01:40:00,2023-06-01 01:52:00,720,2,2
WalkerDelta_13,Ground station 1,2,2023-06-01 01:57:00,2023-06-01 02:06:00,540,2,2
WalkerDelta_20,Ground station 1,2,2023-06-01 02:05:00,2023-06-01 02:10:00,300,2,2
WalkerDelta_4,Ground station 1,2,2023-06-01 02:05:00,2023-06-01 02:17:00,720,2,2
WalkerDelta_16,Ground station 1,2,2023-06-01 02:23:00,2023-06-01 02:29:00,360,2,2
WalkerDelta_19,Ground station 1,2,2023-06-01 02:30:00,2023-06-01 02:37:00,420,2,2
WalkerDelta_3,Ground station 1,2,2023-06-01 02:31:00,2023-06-01 02:42:00,660,2,2
WalkerDelta_18,Ground station 1,2,2023-06-01 02:55:00,2023-06-01 03:03:00,480,2,2
WalkerDelta_2,Ground station 1,2,2023-06-01 02:56:00,2023-06-01 03:07:00,660,2,2
WalkerDelta_17,Ground station 1,3,2023-06-01 03:19:00,2023-06-01 03:28:00,540,3,3
WalkerDelta_1,Ground station 1,3,2023-06-01 03:22:00,2023-06-01 03:31:00,540,3,3
WalkerDelta_20,Ground station 1,3,2023-06-01 03:44:00,2023-06-01 03:54:00,600,3,3
WalkerDelta_4,Ground station 1,3,2023-06-01 03:47:00,2023-06-01 03:56:00,540,3,3
WalkerDelta_19,Ground station 1,3,2023-06-01 04:09:00,2023-06-01 04:20:00,660,3,3
WalkerDelta_3,Ground station 1,3,2023-06-01 04:13:00,2023-06-01 04:21:00,480,3,3
WalkerDelta_6,Ground station 1,1,2023-06-01 04:23:00,2023-06-01 04:26:00,180,3,3
WalkerDelta_2,Ground station 1,3,2023-06-01 04:39:00,2023-06-01 04:45:00,360,3,3
WalkerDelta_18,Ground station 1,3,2023-06-01 04:34:00,2023-06-01 04:45:00,660,3,3
WalkerDelta_5,Ground station 1,1,2023-06-01 04:46:00,2023-06-01 04:53:00,420,3,4
WalkerDelta_1,Ground station 1,4,2023-06-01 05:05:00,2023-06-01 05:10:00,300,4,4
WalkerDelta_17,Ground station 1,4,2023-06-01 04:58:00,2023-06-01 05:10:00,720,4,4
WalkerDelta_8,Ground station 1,1,2023-06-01 05:09:00,2023-06-01 05:19:00,600,4,4
WalkerDelta_4,Ground station 1,4,2023-06-01 05:31:00,2023-06-01 05:35:00,240,4,4
WalkerDelta_20,Ground station 1,4,2023-06-01 05:23:00,2023-06-01 05:35:00,720,4,4
WalkerDelta_7,Ground station 1,1,2023-06-01 05:33:00,2023-06-01 05:44:00,660,4,4
WalkerDelta_19,Ground station 1,4,2023-06-01 05:48:00,2023-06-01 06:00:00,720,4,4
WalkerDelta_3,Ground station 1,4,2023-06-01 05:57:00,2023-06-01 06:01:00,240,4,4
WalkerDelta_6,Ground station 1,2,2023-06-01 05:58:00,2023-06-01 06:09:00,660,4,4
WalkerDelta_18,Ground station 1,4,2023-06-01 06:13:00,2023-06-01 06:24:00,660,4,5
WalkerDelta_2,Ground station 1,4,2023-06-01 06:22:00,2023-06-01 06:26:00,240,4,5
WalkerDelta_5,Ground station 1,2,2023-06-01 06:22:00,2023-06-01 06:34:00,720,4,5
WalkerDelta_17,Ground station 1,5,2023-06-01 06:39:00,2023-06-01 06:48:00,540,5,5
WalkerDelta_1,Ground station 1,5,2023-06-01 06:47:00,2023-06-01 06:52:00,300,5,5
WalkerDelta_8,Ground station 1,2,2023-06-01 06:47:00,2023-06-01 06:59:00,720,5,5
WalkerDelta_20,Ground station 1,5,2023-06-01 07:04:00,2023-06-01 07:12:00,480,5,5
WalkerDelta_4,Ground station 1,5,2023-06-01 07:12:00,2023-06-01 07:18:00,360,5,5
WalkerDelta_7,Ground station 1,2,2023-06-01 07:13:00,2023-06-01 07:24:00,660,5,5
WalkerDelta_19,Ground station 1,5,2023-06-01 07:32:00,2023-06-01 07:34:00,120,5,5
WalkerDelta_3,Ground station 1,5,2023-06-01 07:37:00,2023-06-01 07:44:00,420,5,5
WalkerDelta_6,Ground station 1,3,2023-06-01 07:38:00,2023-06-01 07:49:00,660,5,5
WalkerDelta_2,Ground station 1,5,2023-06-01 08:01:00,2023-06-01 08:10:00,540,6,6
WalkerDelta_5,Ground station 1,3,2023-06-01 08:03:00,2023-06-01 08:13:00,600,6,6
WalkerDelta_1,Ground station 1,6,2023-06-01 08:26:00,2023-06-01 08:36:00,600,6,6
WalkerDelta_8,Ground station 1,3,2023-06-01 08:29:00,2023-06-01 08:38:00,540,6,6
WalkerDelta_4,Ground station 1,6,2023-06-01 08:51:00,2023-06-01 09:02:00,660,6,6
WalkerDelta_7,Ground station 1,3,2023-06-01 08:55:00,2023-06-01 09:03:00,480,6,6
WalkerDelta_3,Ground station 1,6,2023-06-01 09:16:00,2023-06-01 09:27:00,660,6,6
WalkerDelta_6,Ground station 1,4,2023-06-01 09:21:00,2023-06-01 09:27:00,360,6,6
WalkerDelta_9,Ground station 1,1,2023-06-01 09:28:00,2023-06-01 09:35:00,420,6,7
WalkerDelta_2,Ground station 1,6,2023-06-01 09:40:00,2023-06-01 09:52:00,720,7,7
WalkerDelta_5,Ground station 1,4,2023-06-01 09:47:00,2023-06-01 09:52:00,300,7,7
WalkerDelta_12,Ground station 1,1,2023-06-01 09:52:00,2023-06-01 10:01:00,540,7,7
WalkerDelta_1,Ground station 1,7,2023-06-01 10:05:00,2023-06-01 10:17:00,720,7,7
WalkerDelta_8,Ground station 1,4,2023-06-01 10:13:00,2023-06-01 10:17:00,240,7,7
WalkerDelta_11,Ground station 1,1,2023-06-01 10:16:00,2023-06-01 10:26:00,600,7,7
WalkerDelta_4,Ground station 1,7,2023-06-01 10:30:00,2023-06-01 10:42:00,720,7,7
WalkerDelta_7,Ground station 1,4,2023-06-01 10:39:00,2023-06-01 10:42:00,180,7,7
WalkerDelta_10,Ground station 1,1,2023-06-01 10:40:00,2023-06-01 10:51:00,660,7,7
WalkerDelta_3,Ground station 1,7,2023-06-01 10:55:00,2023-06-01 11:06:00,660,7,7
WalkerDelta_6,Ground station 1,5,2023-06-01 11:04:00,2023-06-01 11:08:00,240,7,7
WalkerDelta_9,Ground station 1,2,2023-06-01 11:04:00,2023-06-01 11:16:00,720,7,8
WalkerDelta_2,Ground station 1,7,2023-06-01 11:21:00,2023-06-01 11:30:00,540,8,8
WalkerDelta_5,Ground station 1,5,2023-06-01 11:29:00,2023-06-01 11:34:00,300,8,8
WalkerDelta_12,Ground station 1,2,2023-06-01 11:29:00,2023-06-01 11:41:00,720,8,8
